oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
372206200011643,44533443,2458199.8400831465,58199.334432900003,17.302412,0.0221664496,32768,zr,196.2505989,-10.4980981,0.546000004,0.0170000009,20180322334421,372,0x6,0x2,18.9599991,24.6717739,0.0710535347,0.085267961,0.000148782143,30,1.41299999,1
372206200011643,46528085,2458219.7868044488,58219.280856500001,17.2528458,0.0215760637,0,zr,196.25059329999999,-10.4981103,1.06599998,-0.0680000037,20180411280856,372,0x6,0x2,21.1000004,26.208292,0.0242050346,0.121533595,1.01106225e-05,30,1.41100001,1
372206200011643,46530447,2458219.8104271069,58219.3044792,17.2332134,0.0213507023,32768,zr,196.25056380000001,-10.4980923,0.370999992,-0.0520000011,20180411304433,372,0x6,0x2,19.6299992,25.2565784,0.0431948528,0.121576943,3.62849751e-05,30,1.37800002,1
372206200011643,47027769,2458224.7836137982,58224.277696800003,17.218401,0.0211837925,0,zr,196.2506041,-10.4981086,1.46099997,-0.0439999998,20180416277697,372,0x6,0x2,20.5100002,26.1044044,0.0282262638,0.12537393,1.35542778e-05,30,1.39199996,1
372206200011643,47030281,2458224.8087292379,58224.302812499998,17.2035294,0.021018859,32768,zr,196.25059150000001,-10.498096500000001,0.536000013,-0.00700000022,20180416302801,372,0x6,0x2,19.9400005,25.660347,0.037665464,0.12813212,2.46889158e-05,30,1.375,1
372206200011643,47625119,2458230.7570168125,58230.251192099997,17.2507477,0.0215517543,0,zr,196.2505937,-10.498118,1.57799995,0.0329999998,20180422251192,372,0x6,0x2,21.0100002,26.1920033,0.0249977689,0.107342638,1.08212344e-05,30,1.40999997,1
372206200011643,47920797,2458233.7137316763,58233.207974500001,17.2569733,0.0216240548,0,zr,196.2505798,-10.498120200000001,0.651000023,-0.0659999996,20180425207975,372,0x6,0x2,20.5,26.1952381,0.0279832017,0.117789738,1.34567817e-05,30,1.53400004,1
372206200011643,49223015,2458246.7354457011,58246.2301505,17.2365246,0.0213883854,0,zr,196.25058390000001,-10.4980788,1.04200006,-0.0410000011,20180508229676,372,0x6,0x2,20.7199993,26.1940041,0.0260078553,0.133243099,1.1512916e-05,30,1.38,1
372206200011643,49525384,2458249.7589937565,58249.253842600003,17.2500801,0.0215440281,0,zr,196.2505926,-10.4979294,1.09000003,0.0680000037,20180511253843,372,0x6,0x2,20.2399998,26.1652966,0.0347776711,0.133251548,2.1180198e-05,30,1.38999999,1
372206200011643,50224152,2458256.7462965217,58256.241527799997,17.2347755,0.0213684682,0,zr,196.2505803,-10.4981045,0.737999976,0.00300000003,20180518241516,372,0x6,0x2,20.7399998,26.186491,0.0260741413,0.127338484,1.15174098e-05,30,1.40100002,1
372206200011643,50525002,2458259.7546069953,58259.250023100001,17.1440315,0.0203848984,32768,zr,196.2506008,-10.498126299999999,0.606000006,-0.0649999976,20180521249988,372,0x6,0x2,18.0799999,23.6355515,0.0567546636,0.135645196,0.000280994718,30,1.44000006,1
372206200011643,51516513,2458269.6690363442,58269.165138900004,17.2962227,0.0220910218,0,zr,196.2505329,-10.4980517,1.96200001,-0.0729999989,20180531165127,372,0x6,0x2,20.4400005,26.2452126,0.0253173504,0.0801426172,1.12316065e-05,30,1.38199997,1
372206200011643,52019047,2458274.6939832447,58274.190474499999,17.2828445,0.0219296664,0,zr,196.25057889999999,-10.498112600000001,1.34099996,-0.0879999995,20180605189155,372,0x6,0x2,21.0200005,26.2169285,0.0225376599,0.106455587,9.03851742e-06,30,1.39699996,1
372206200011643,52325296,2458277.7562228972,58277.252962999999,17.2715473,0.0217951722,0,zr,196.2505744,-10.4981285,0.472000003,-0.0340000018,20180608252963,372,0x6,0x2,20.9899998,26.1096992,0.0247301422,0.109013058,1.04407109e-05,30,1.727,1
372206200011643,52617126,2458280.6742767249,58280.1712616,17.2563496,0.0216167774,0,zr,196.25058530000001,-10.498110199999999,0.722000003,0.0189999994,20180611171262,372,0x6,0x2,20.7199993,26.2311802,0.0238101352,0.101538338,9.65240451e-06,30,1.39499998,1
372206200011643,52918939,2458283.6921527716,58283.189398100003,17.2221107,0.0212253481,0,zr,196.25057960000001,-10.4981265,0.578999996,-0.00899999961,20180614189363,372,0x6,0x2,21,26.2108593,0.0241297726,0.11790853,1.00028847e-05,30,1.45799994,1
372206200011643,53521471,2458289.7169261053,58289.214710599997,17.2385254,0.0214112103,0,zr,196.2505736,-10.498113099999999,1.09399998,-0.0329999998,20180620214688,372,0x6,0x2,20.2700005,26.1492939,0.0389873646,0.12284568,2.63470429e-05,30,1.68400002,1
372206200011643,53923510,2458293.7369481139,58293.235104200001,17.2276669,0.0212879013,0,zr,196.2505577,-10.4981405,0.640999973,-0.00800000038,20180624235104,372,0x6,0x2,19.2700005,26.1692677,0.0471488461,0.118891284,4.6435518e-05,30,2.02900004,1
372206200011643,69354478,2458448.0408567251,58447.544780099997,17.2366295,0.0213895813,0,zr,196.2506309,-10.498031900000001,0.60799998,-0.0729999989,20181125544780,372,0x6,0x2,18.3700008,26.1350193,0.0482094437,0.113886297,9.68398017e-05,30,2.50699997,2
372206200011643,69354988,2458448.0459612873,58447.549884300002,17.260231,0.0216620676,0,zr,196.25062019999999,-10.498178100000001,0.947000027,-0.0320000015,20181125549873,372,0x6,0x2,18.5300007,26.1306267,0.0521387644,0.11232689,9.87608728e-05,30,2.38499999,2
372206200011643,69355498,2458448.0510657663,58447.554988399999,17.2970505,0.0221010894,0,zr,196.25038609999999,-10.498211100000001,0.688000023,0.193000004,20181125554977,372,0x6,0x2,18.5400009,26.1484241,0.0470823124,0.116837516,7.37400769e-05,30,2.27699995,2
372206200011643,69356009,2458448.0561703155,58447.560092599997,17.333168,0.0225486699,0,zr,196.25059469999999,-10.498304600000001,0.708000004,-0.0489999987,20181125560093,372,0x6,0x2,18.6200008,26.1455517,0.0508183539,0.121191524,8.28124903e-05,30,2.18099999,2
372206200011643,69554707,2458450.0432920181,58449.5470718,17.2490578,0.0215322226,0,zr,196.25058440000001,-10.498146699999999,0.971000016,0.0149999997,20181127547072,372,0x6,0x2,19.8799992,26.1543236,0.0420083404,0.110669196,3.02131593e-05,30,2.3269999,2
372206200011643,69555204,2458450.0482691862,58449.552048600002,17.2193813,0.0211947467,0,zr,196.25058369999999,-10.4981373,1.05200005,-0.0469999984,20181127552049,372,0x6,0x2,20.0799999,26.1565933,0.0341109782,0.114796557,1.96444907e-05,30,2.22799993,2
372206200011643,69555703,2458450.0532579538,58449.557036999999,17.2835407,0.0219380073,0,zr,196.25060189999999,-10.4981384,0.730000019,-0.0130000003,20181127557026,372,0x6,0x2,20.1100006,26.1697941,0.0316077918,0.106853835,1.69974755e-05,30,2.13899994,2
372206200011643,69556202,2458450.0582468249,58449.562025500003,17.2677536,0.0217503794,0,zr,196.2505645,-10.4981235,0.328999996,0.0149999997,20181127562014,372,0x6,0x2,19.6700001,26.191946,0.0353093408,0.103522256,2.12316372e-05,30,2.05900002,2
372206200011643,69654817,2458451.0444651553,58450.548171299997,17.2555389,0.021607345,0,zr,196.25058870000001,-10.4981264,0.883000016,-0.0130000003,20181128548160,372,0x6,0x2,20.4099998,26.1718636,0.0273065958,0.109021276,1.28817546e-05,30,2.25,2
372206200011643,69655293,2458451.049234014,58450.5529398,17.2458038,0.0214946885,0,zr,196.25058480000001,-10.4981112,0.582000017,-0.0189999994,20181128552940,372,0x6,0x2,20.3400002,26.1681118,0.0278340355,0.114603549,1.31286934e-05,30,2.16199994,2
372206200011643,69655771,2458451.0540144714,58450.557719900004,17.2038193,0.021022046,0,zr,196.25059540000001,-10.498141199999999,0.902999997,-0.00600000005,20181128557708,372,0x6,0x2,20.0599995,26.1730213,0.0303980205,0.112964444,1.57457107e-05,30,2.08400011,2
372206200011643,69656248,2458451.0587833282,58450.562488399999,17.2369843,0.0213936344,0,zr,196.25061349999999,-10.498132399999999,0.635999978,0.0120000001,20181128562488,372,0x6,0x2,19.7199993,26.1791973,0.0379800834,0.113866664,2.44760631e-05,30,2.01300001,2
